"word","count"
"noun_2310",2
"noun_2311",2
"noun_2312",1
"noun_2313",1
"noun_2314",1
"noun_2315",6
"noun_2316",2
"noun_2317",2
"noun_2318",2
"noun_2321",4
"noun_2322",1
"noun_2324",11
"noun_2325",10
"noun_2327",1
"noun_2328",320
"noun_233",1
"noun_2330",18
"noun_2335",3
"noun_2337",2
"noun_2339",53
"noun_234",2
"noun_2340",11
"noun_2341",1
"noun_2342",12
"noun_2345",7
"noun_2346",10
"noun_2348",1
"noun_2349",2
"noun_235",32
"noun_2350",3
"noun_2351",2
"noun_2352",6
"noun_2353",1
"noun_2354",2
"noun_2355",1
"noun_2356",1
"noun_2357",1
"noun_2358",1
"noun_2359",60
"noun_236",1
"noun_2360",2
"noun_2361",2
"noun_2363",1
"noun_2364",19
"noun_2366",5
"noun_2368",1
"noun_2369",7
"noun_237",2
"noun_2370",1
"noun_2371",1
"noun_2373",1
"noun_2374",2
"noun_2375",43
"noun_2376",3
"noun_2377",9
"noun_2378",1
"noun_2380",1
"noun_2382",1
"noun_2384",293
"noun_2387",14
"noun_2388",1
"noun_2389",1
"noun_239",1
"noun_2390",3
"noun_2391",1
"noun_2392",1
"noun_2393",1
"noun_2394",16
"noun_2395",1
"noun_2397",1
"noun_2399",3
"noun_2400",1
"noun_2401",15
"noun_2402",8
"noun_2403",131
"noun_2404",2
"noun_2405",1
"noun_2406",3
"noun_2407",10
"noun_2408",27
"noun_2409",1
"noun_241",84
"noun_2410",1
"noun_2411",8
"noun_2412",4
"noun_2413",3
"noun_2415",40
"noun_2416",1
"noun_2417",15
"noun_2418",10
"noun_2419",23
"noun_242",36
"noun_2420",1
"noun_2421",9
"noun_2422",1
"noun_2424",46
"noun_2425",5
"noun_2427",1
"noun_2428",1
"noun_243",54
"noun_2430",3
"noun_2433",2
"noun_2434",1
"noun_2435",1
"noun_2436",3
"noun_2437",2
"noun_2438",1
"noun_2439",65
"noun_244",1120
"noun_2440",2
"noun_2441",12
"noun_2442",1
"noun_2443",1
"noun_2444",13
"noun_2445",2
"noun_2446",1
"noun_2447",27
"noun_2448",9
"noun_2450",6
"noun_2453",1
"noun_2454",22
"noun_2455",1
"noun_2456",2
"noun_2459",5
"noun_246",2
"noun_2460",4
"noun_2461",9
"noun_2462",3
"noun_2463",1
"noun_2464",2
"noun_2467",1
"noun_2468",1
"noun_2470",85
"noun_2472",2
"noun_2474",1
"noun_2475",76
"noun_2477",22
"noun_2478",2
"noun_2479",1
"noun_2480",2
"noun_2482",1
"noun_2483",1
"noun_2485",44
"noun_2486",100
"noun_2487",1
"noun_2488",4
"noun_249",1
"noun_2490",1
"noun_2491",5
"noun_2492",1
"noun_2493",3
"noun_2494",6
"noun_2495",1
"noun_2496",2521
"noun_2497",2
"noun_2498",3
"noun_25",2
"noun_250",1
"noun_2501",1
"noun_2502",1
"noun_2503",31
"noun_2504",1
"noun_2505",7
"noun_2506",1
"noun_2507",3
"noun_2508",7
"noun_251",9
"noun_2510",36
"noun_2511",1
