"word","count"
"noun_1513",1
"noun_1514",1
"noun_1515",2
"noun_1516",15
"noun_1517",3
"noun_1518",1
"noun_1519",1
"noun_152",6
"noun_1520",1
"noun_1521",2
"noun_1523",1
"noun_1524",3
"noun_1525",11
"noun_1526",7
"noun_1527",6
"noun_1528",8
"noun_1529",158
"noun_1530",5
"noun_1531",1
"noun_1532",3
"noun_1533",1
"noun_1534",24
"noun_1535",2
"noun_1536",1
"noun_1537",14
"noun_1538",4
"noun_1539",2
"noun_154",6
"noun_1540",1
"noun_1541",38
"noun_1542",3
"noun_1543",43
"noun_1544",234
"noun_1545",2
"noun_1546",28
"noun_1547",18
"noun_1548",6
"noun_1549",1
"noun_155",16
"noun_1550",1
"noun_1551",48
"noun_1552",33
"noun_1553",1
"noun_1554",10
"noun_1556",1
"noun_1557",3
"noun_1558",30
"noun_1559",1
"noun_156",1
"noun_1560",55
"noun_1562",20
"noun_1563",1
"noun_1564",68
"noun_1565",2
"noun_1566",2
"noun_1567",3
"noun_1568",10
"noun_1569",1
"noun_157",2
"noun_1570",6
"noun_1571",3
"noun_1572",770
"noun_1573",5
"noun_1574",4
"noun_1575",6
"noun_1576",80
"noun_1577",1
"noun_1578",5
"noun_1579",1
"noun_158",2
"noun_1581",3
"noun_1582",8
"noun_1583",25
"noun_1584",119
"noun_1586",1
"noun_1587",27
"noun_1588",1
"noun_1589",5
"noun_159",1
"noun_1590",1
"noun_1591",1
"noun_1592",1
"noun_1593",1
"noun_1595",1
"noun_1596",2
"noun_1597",3
"noun_1598",1
"noun_1599",84
"noun_16",21
"noun_160",1
"noun_1600",2
"noun_1601",28
"noun_1602",12
"noun_1603",2
"noun_1604",1
"noun_1605",2
"noun_1606",2
"noun_1607",1
"noun_1608",331
"noun_1609",5
"noun_161",2
"noun_1611",6
"noun_1612",1
"noun_1613",7
"noun_1614",2
"noun_1615",323
"noun_1616",1
"noun_1617",1
"noun_1618",31
"noun_1619",4
"noun_162",4
"noun_1620",1
"noun_1621",8
"noun_1623",1
"noun_1624",3
"noun_1625",1
"noun_1626",2
"noun_1627",1
"noun_1628",1
"noun_1629",1
"noun_163",2
"noun_1630",2
"noun_1631",3
"noun_1632",12
"noun_1633",3
"noun_1634",2
"noun_1635",3
"noun_1636",1
"noun_1637",2
"noun_164",1
"noun_1640",41
"noun_1641",2
"noun_1642",49
"noun_1643",33
"noun_1644",14
"noun_1645",1
"noun_1646",1
"noun_1647",1
"noun_1648",9
"noun_1649",1
"noun_165",2
"noun_1650",1
"noun_1652",7
"noun_1653",11
"noun_1655",2
"noun_1656",4
"noun_1657",4
"noun_1659",7
"noun_166",1
"noun_1660",1
"noun_1661",5
"noun_1662",1
"noun_1663",1
"noun_1664",3
"noun_1665",66
"noun_1666",19
"noun_1667",1
"noun_1668",3
"noun_1669",4
"noun_167",15
"noun_1670",8
"noun_1672",12
"noun_1673",13
"noun_1674",2
"noun_1675",7
"noun_1676",2
"noun_1677",1
"noun_1679",1
"noun_168",5
"noun_1680",1
"noun_1681",126
"noun_1682",1
"noun_1683",1
"noun_1684",3
"noun_1685",8
"noun_1686",1
"noun_1687",1
"noun_1688",3
"noun_1689",1
"noun_169",3
"noun_1690",3
"noun_1691",1
"noun_1692",2
"noun_1693",7
"noun_1694",1
"noun_1696",7
"noun_1697",62
"noun_1698",3
"noun_1699",1
"noun_17",39
"noun_170",1
"noun_1701",3
"noun_1702",40
"noun_1703",1
"noun_1704",3
"noun_1705",25
"noun_1706",2
"noun_1707",2
"noun_1708",5031
"noun_1709",3
"noun_171",2
"noun_1710",251
"noun_1711",1
"noun_1712",1
"noun_1713",2
"noun_1714",1
"noun_1715",7
"noun_1716",16
"noun_1717",142
"noun_1718",1
"noun_1719",1
"noun_172",2
"noun_1720",2
"noun_1721",21
"noun_1722",46
"noun_1724",22
"noun_1725",45
"noun_1726",1
"noun_1727",57
"noun_1728",2
"noun_1729",1
"noun_173",2
"noun_1730",7
"noun_1731",1
"noun_1732",1
"noun_1733",1
"noun_1734",2
"noun_1735",1
"noun_1736",1
"noun_1737",136
"noun_1738",3
"noun_1739",3
"noun_174",4
"noun_1740",1
"noun_1741",13
"noun_1742",21
"noun_1743",8
"noun_1744",2
"noun_1745",2
"noun_1746",10
"noun_1748",8
"noun_1749",100
"noun_175",3
"noun_1750",1
"noun_1751",11
"noun_1752",2
"noun_1753",1
"noun_1754",24
"noun_1755",12
"noun_1756",565
"noun_1757",1
"noun_1758",1
"noun_1759",1
"noun_1760",2
